1789577804.619791081,1504,11904
1789577804.887923343,1504,95392
1789577805.149116395,1504,105424
1789577805.411199311,1504,153648
1789577805.674117050,1504,162688
1789577805.937978402,1504,212640
1789577806.201400008,1504,251328
1789577806.464403994,1504,316976
1789577806.725934289,1504,366224
1789577806.990028012,1504,417600
1789577807.253277285,1504,466496
1789577807.513778798,1504,515456
1789577807.775838543,1504,564288
1789577808.044952870,1504,613248
1789577808.315450970,1504,662144
1789577808.584715460,1504,711104
1789577808.853412332,1504,759936
1789577809.122555031,1504,808832
1789577809.396300049,1504,857792
1789577809.657912962,1504,906624
1789577809.919877287,1504,955584
1789577810.181631447,1504,989376
1789577810.445233917,1504,1037376
1789577810.709052968,1504,1078016
1789577810.974299085,1504,1127040
1789577811.238009344,1504,1176896
1789577811.502257179,1504,1224704
1789577811.765418819,1504,1273664
1789577812.028533793,1504,1323952
1789577812.298961469,1504,1368080
1789577812.568348824,1504,1368080
1789577812.836410987,1504,1368080
1789577813.116489630,1504,1393600
