1789578688.625944844,1504,21632
1789578688.890001391,1504,99472
1789578689.153125036,1504,152304
1789578689.428260038,1504,153344
1789578689.694556509,1504,204576
1789578689.960460695,1504,254368
1789578690.226955871,1504,295520
1789578690.492969012,1504,336224
1789578690.760248468,1504,374688
1789578691.035919878,1504,416416
1789578691.302113350,1504,452128
1789578691.579924686,1504,530528
1789578691.845688415,1504,555456
1789578692.112951370,1504,604416
1789578692.387167802,1504,653312
1789578692.655244536,1504,702272
1789578692.920092987,1504,751104
1789578693.186625703,1504,788416
1789578693.453428790,1504,855376
1789578693.718664650,1504,904208
1789578693.984130216,1504,955648
1789578694.249215870,1504,1004480
1789578694.514411106,1504,1053440
1789578694.780242624,1504,1102336
1789578695.045923936,1504,1151232
1789578695.311335502,1504,1200128
1789578695.578818911,1504,1249024
1789578695.844860258,1504,1297984
1789578696.119943218,1504,1383280
1789578696.396277366,1504,1367184
1789578696.672620139,1504,1367184
1789578696.948891997,1504,1367184
