1789578243.061313356,1504,16768
1789578243.325736164,1504,95488
1789578243.594481703,1504,105504
1789578243.864388016,1504,153744
1789578244.127214096,1504,146464
1789578244.390081467,1504,197536
1789578244.652872673,1504,261696
1789578244.916764988,1504,310592
1789578245.178763829,1504,348448
1789578245.441213914,1504,404304
1789578245.705116311,1504,453200
1789578245.975583156,1504,502160
1789578246.246178665,1504,596912
1789578246.508018882,1504,645808
1789578246.775266856,1504,693168
1789578247.045314622,1504,743600
1789578247.307494167,1504,792496
1789578247.570635324,1504,822704
1789578247.833985019,1504,857904
1789578248.097947329,1504,890176
1789578248.361306607,1504,933248
1789578248.623459151,1504,995264
1789578248.888675069,1504,1044224
1789578249.152837459,1504,1099888
1789578249.416792935,1504,1148784
1789578249.681565483,1504,1200160
1789578249.944744178,1504,1249056
1789578250.215513015,1504,1298016
1789578250.478566128,1504,1347920
1789578250.748014900,1504,1367360
1789578251.016922012,1504,1367360
1789578251.287221438,1504,1367360
1789578251.553587086,1504,157600
